site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,spec_cond_uSpercm,tpc_uM,tpn_uM,tpp_uM
RS02,2003-07-15T16:11:00Z,0.3,1.8,2.2,9.9,1.8,773,847.3,53,NA
AB00,2005-03-18T19:00:00Z,5,106.1,NA,163.6,1.1,1201,NA,NA,NA
RS02,2009-01-22T22:35:00Z,0.3,2.1,NA,18.2,0.6,973,NA,NA,NA
MC00,2005-01-09T06:25:00Z,1,80.5,11.5,103.2,8.7,209,3004.2,214.2,45.2
AB00,2005-01-08T16:05:00Z,1.6,51.1,21.6,64.9,10.8,386,NA,NA,NA
BC02,2006-02-21T16:35:00Z,0.7,2389.9,3.3,1858.8,2.6,2334,NA,NA,NA
AB00,2001-05-19T16:55:00Z,6.4,107.7,2.1,140.6,4.8,NA,NA,NA,NA
SP02,2009-02-16T06:25:00Z,4.2,57.6,7.5,113.5,5.3,833,NA,NA,NA
RS02,2009-12-13T03:55:00Z,4,363.1,5.2,519.2,5.1,521,38101.9,2660.3,NA
MC00,2005-03-22T13:36:00Z,0.1,16.3,4.2,34.6,4.7,136,1219.4,79.2,12.3
TO02,2006-02-18T07:10:00Z,0.7,571.2,0.2,519.3,0.5,1432,NA,NA,NA
RS02,2011-03-21T08:35:00Z,0.2,25.6,0.5,89.8,2,199,NA,NA,NA
DV01,2005-06-08T17:05:00Z,7.9,4.9,4,93.4,4.5,6,NA,NA,NA
DV01,2005-01-26T14:28:00Z,10.7,164.1,4.6,219.9,2.7,5154,NA,NA,NA
AB00,2004-01-30T10:38:00Z,2.8,103.6,1.1,126.5,0.9,2256,NA,NA,NA
RG01,2008-01-26T19:00:00Z,0.6,178.9,0.8,201.3,1.3,817,NA,NA,NA
RG01,2005-01-11T01:01:00Z,0.3,107.8,4.9,128.2,4.1,345,1833.6,105.4,55.3
RG01,2007-10-25T11:10:00Z,1.2,0.6,NA,24,0.1,2958,NA,NA,NA
RG01,2006-05-03T15:51:00Z,1.1,126.4,0.2,120.1,0.1,1437,NA,NA,NA
RS02,2008-01-06T00:01:00Z,0.3,88.9,0.2,93.2,0.5,563,NA,NA,NA
BC02,2005-01-07T07:00:00Z,1,381.4,12,397,4.8,803,NA,NA,NA
AT07,2005-01-08T07:20:00Z,0.7,119.9,20.2,154,11.2,784,NA,NA,NA
